Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,Direction
frmA,b0356,378462,379571,<i>S</i>-(hydroxymethyl)glutathione dehydrogenase,-
narH,b1225,1283604,1285142,nitrate reductase A subunit &beta;,+
yfaH,b2238,2349687,2349893,putative uncharacterized protein YfaH,+
rpmI,b1717,1799802,1799999,50S ribosomal subunit protein L35,-
pqiC,b0952,1014896,1015459,intermembrane transport lipoprotein PqiC,+
phnH,b4100,4320663,4321247,carbon-phosphorus lyase core complex subunit PhnH,-
tolB,b0740,777740,779032,Tol-Pal system periplasmic protein TolB,+
gltP,b4077,4294481,4295794,glutamate/aspartate : H<sup>+</sup> symporter GltP,+
yraK,b3145,3291341,3292432,putative fimbrial adhesin YraK,+
pxpC,b0712,744243,745175,5-oxoprolinase component C,+
yejG,b2181,2277893,2278237,protein YejG,-
holC,b4259,4483837,4484280,DNA polymerase III subunit &chi;,-
mscL,b3291,3438024,3438434,large conductance mechanosensitive channel,+
IS128,,2653515,2653723,,+
yrhD,b4612,3584404,3584559,uncharacterized protein YrhD,+
yihQ,b3878,4067240,4069276,sulfoquinovosidase,-
oppF,b1247,1305764,1306768,murein tripeptide ABC transporter / oligopeptide ABC transporter ATP binding subunit OppF,+
ydeP,b1501,1584207,1586486,putative oxidoreductase YdeP,-
yneK,b1527,1615763,1616878,protein YneK,+
ileU,b3277,3427076,3427152,tRNA-Ile(GAU),-
G0-10704,,4001191,4001334,,+
waaJ,b3626,3800983,3801999,"UDP-glucose:(glucosyl)LPS &alpha;-1,2-glucosyltransferase",-
flxA,b1566,1646405,1646737,Qin prophage; PF14282 family protein FlxA,+
insQ,b1432,1503657,1504865,putative RNA-guided DNA endonuclease InsQ,+
hycC,b2723,2847415,2849241,formate hydrogenlyase subunit HycC,-
glpB,b2242,2354265,2355524,anaerobic glycerol-3-phosphate dehydrogenase subunit B,+
yifN,b3777,3960012,3960460,putative toxin YifN,-
rpsK,b3297,3441709,3442098,30S ribosomal subunit protein S11,-
insB2,b0264,279178,279681,IS1 protein InsB,-
pldA,b3821,4004862,4005731,outer membrane phospholipase A,+
yfhR,b2534,2664390,2665244,putative peptidase,+
gdhA,b1761,1842371,1843714,glutamate dehydrogenase,+
fau,b2912,3056241,3056789,putative 5-formyltetrahydrofolate cyclo-ligase,+
yjaG,b3999,4199504,4200094,DUF416 domain-containing protein YjaG,+
sodB,b1656,1735378,1735959,superoxide dismutase (Fe),+
bglF,b3722,3903720,3905597,&beta;-glucoside specific PTS enzyme II / BglG kinase / BglG phosphatase,-
ycjS,b1315,1376832,1377887,D-glucoside 3-dehydrogenase,+
ynaE,b1375,1433991,1434224,Rac prophage; uncharacterized protein YnaE,-
yjjI,b4380,4615515,4617065,DUF3029 domain-containing protein YjjI,-
frsA,b0239,256527,257771,fermentation-respiration switch protein,+
hyfE,b2485,2606262,2606912,hydrogenase 4 component E,+
insD7,b1578,1650881,1651537,Qin prophage; putative transposase,+
rpmC,b3312,3448568,3448759,50S ribosomal subunit protein L29,-
ppx,b2502,2625115,2626656,exopolyphosphatase,+
fhuA,b0150,167484,169727,ferrichrome outer membrane transporter/phage receptor,+
gltL,b0652,684530,685255,glutamate/aspartate ABC transporter ATP binding subunit,-
ygiL,b3043,3185414,3185965,putative fimbrial protein YgiL,+
yieE,b3712,3893881,3894630,putative phosphopantetheinyl transferase,+
rcnB,b2107,2186960,2187298,periplasmic protein involved in nickel/cobalt export,+
yfcG,b2302,2420621,2421268,disulfide bond oxidoreductase YfcG,+
yjjY,b4402,4640402,4640542,uncharacterized protein YjjY,+
yhdZ,b3271,3422436,3423194,putative ABC transporter ATP-binding subunit YhdZ,+
rhaT,b3907,4099491,4100525,rhamnose/lyxose:H<sup>+</sup> symporter,-
nudF,b3034,3177281,3177910,ADP-sugar pyrophosphatase,-
gfcB,b0986,1048688,1049332,lipoprotein GfcB,-
glnU,b0670,696865,696939,tRNA-Gln(UUG),-
waaB,b3628,3803058,3804137,"UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase",-
intR,b1345,1412000,1413235,Rac prophage; putative integrase,-
ymgA,b1165,1216068,1216340,putative two-component system connector protein YmgA,+
nuoJ,b2280,2395342,2395896,NADH:quinone oxidoreductase subunit J,-
afuB,b0263,278814,279162,CP4-6 prophage; ABC transporter membrane protein AfuB,-
rimM,b2608,2745370,2745918,ribosome maturation factor RimM,-
insAB6,,3583483,3584180,InsAB' transposase,+
phnP,b4092,4314344,4315102,"5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase",-
ybbC,b0498,527581,527949,PF15631 family protein YbbC,+
gltS,b3653,3827460,3828665,glutamate:sodium symporter,-
paoA,b0286,301884,302573,"aldehyde dehydrogenase, Fe-S subunit",-
ybfD,b0706,738092,738853,H repeat-associated putative transposase YbfD,+
ribC,b1662,1742601,1743242,riboflavin synthase,-
bglJ,b4366,4604160,4604837,DNA-binding transcriptional regulator BglJ,+
panB,b0134,148807,149601,3-methyl-2-oxobutanoate hydroxymethyltransferase,-
ybiT,b0820,855963,857555,putative ATP-binding protein YbiT,+
ymfD,b1137,1196867,1197532,e14 prophage; putative SAM-dependent methyltransferase YmfD,-
yedF,b1930,2009479,2009712,putative sulfurtransferase YedF,+
lldD,b3605,3779827,3781017,L-lactate dehydrogenase,+
yjhY,b4656,4532050,4532310,,-
rplX,b3309,3447453,3447767,50S ribosomal subunit protein L24,-
yidC,b3705,3885076,3886722,membrane protein insertase YidC,+
phnL,b4096,4317215,4317895,methylphosphonate degradation complex subunit PhnL,-
cirA,b2155,2244778,2246769,iron-catecholate outer membrane transporter CirA,-
gltB,b3212,3354725,3359185,glutamate synthase subunit GltB,+
fimD,b4317,4545096,4547732,type I fimbriae usher protein,+
yjeJ,b4145,4373365,4374234,protein YjeJ,-
kefC,b0047,47769,49631,K<sup>+</sup> : H<sup>+</sup> antiporter KefC,+
priB,b4201,4425520,4425834,primosomal replication protein N,+
ppiD,b0441,461915,463786,periplasmic folding chaperone,+
G0-10700,,2278258,2278498,,-
yzcX,b3808,3993850,3994335,protein YzcX,+
dkgA,b3012,3156623,3157450,methylglyoxal reductase DkgA,+
yphE,b2547,2676850,2678361,putative ABC transporter ATP-binding protein YphE,-
tesB,b0452,474301,475161,acyl-CoA thioesterase II,-
ybbO,b0493,518340,519149,NADP<sup>+</sup>-dependent aldehyde reductase YbbO,-
argV,b2694,2818473,2818549,tRNA-Arg(ACG),-
ybjM,b0848,890089,890466,putative inner membrane protein,+
rffC,b3790,3974467,3975141,RffC,+
ybcM,b0546,571454,572251,DLP12 prophage; putative DNA-binding transcriptional regulator,+
purB,b1131,1190616,1191986,adenylosuccinate lyase,-
metK,b2942,3086706,3087860,methionine adenosyltransferase,+
hybG,b2990,3139716,3139964,hydrogenase maturation factor HybG,-
pawZ,b4643,2476584,2476598,,+
rplE,b3308,3446899,3447438,50S ribosomal subunit protein L5,-
insH11,b3505,3652182,3653162,IS<i>5</i> transposase and trans-activator,-
phnI,b4099,4319599,4320663,carbon-phosphorus lyase core complex subunit PhnI,-
yfbL,b2271,2385860,2386831,putative peptidase YfbL,+
gltI,b0655,686839,687747,glutamate/aspartate ABC transporter periplasmic binding protein,-
hxpB,b1727,1809380,1810048,hexitol phosphatase B,+
lolB,b1209,1262877,1263500,outer membrane lipoprotein LolB,-
ribD,b0414,433455,434558,fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase,+
ydjH,b1772,1855981,1856928,L-<i>glycero</i>-L-galacto-octuluronate kinase,-
yaeQ,b0190,214291,214836,uncharacterized protein YaeQ,+
ykfC,b0258,272847,273992,CP4-6 prophage; PF00078 domain-containing protein YkfC,+
ypfG,b2466,2581734,2582777,DUF1176 domain-containing protein YpfG,-
purM,b2499,2621197,2622234,phosphoribosylformylglycinamide cyclo-ligase,+
hyfB,b2482,2601818,2603836,hydrogenase 4 component B,+
intB,b4271,4496750,4497940,KpLE2 phage-like element; putative integrase,+
rpsU,b3065,3210781,3210996,30S ribosomal subunit protein S21,+
ppa,b4226,4449122,4449652,inorganic pyrophosphatase,-
cbrC,b3717,3898022,3898609,PF03691 family colicin E2 tolerance protein CbrC,+
asnC,b3743,3926545,3927003,DNA-binding transcriptional dual regulator AsnC,-
yfcR,b2335,2451072,2451584,putative fimbrial protein YfcR,-
tynA,b1386,1449076,1451349,copper-containing amine oxidase,-
yhdT,b3257,3407375,3407617,DUF997 domain-containing protein YhdT,+
yjjX,b4394,4633233,4633745,inosine/xanthosine triphosphatase,-
soxR,b4063,4277469,4277933,DNA-binding transcriptional dual regulator SoxR,+
yibT,b4554,3776171,3776380,protein YibT,-
cspG,b0990,1051461,1051673,cold shock protein CspG,+
dhaK,b1200,1249768,1250838,dihydroxyacetone kinase subunit K,-
nudE,b3397,3525589,3526149,ADP-sugar diphosphatase NudE,-
flgO,b4826,1140986,1141063,small RNA FlgO,+
rybA,b4416,852725,853064,small RNA RybA,-
wecH,b3561,3725887,3726882,<i>O</i>-acetyltransferase WecH,+
ycfK,b1154,1207501,1208130,e14 prophage; protein StfP,+
ykgF,b0307,322338,323765,putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain,+
purH,b4006,4205943,4207532,bifunctional AICAR transformylase/IMP cyclohydrolase,-
hypE,b2730,2853254,2854264,HypE-S-carboxamide // carbamoyl dehydratase HypE,+
yqfE,b2915,3059381,3059611,putative protein YqfE,-
rpsE,b3303,3444726,3445229,30S ribosomal subunit protein S5,-
ppk,b2501,2623044,2625110,polyphosphate kinase,+
insH6,b1994,2066305,2067285,CP4-44 prophage; IS<i>5</i> transposase and trans-activator,-
recF,b3700,3880148,3881221,recombination mediator protein RecF,-
mbiA,b0012,10830,11315,uncharacterized protein MbiA,+
aspA,b4139,4366891,4368327,aspartate ammonia-lyase,-
ribB,b3041,3183813,3184466,"3,4-dihydroxy-2-butanone-4-phosphate synthase",-
yggC,b2928,3073976,3074689,P-loop NTPase domain-containing protein YggC,-
cynX,b0341,359992,361146,cyanate transporter,+
srlB,b2704,2827362,2827733,sorbitol-specific PTS enzyme IIA component,+
raiZ,b4805,2737381,2737542,small RNA RaiZ,+
panF,b3258,3407607,3409058,pantothenate:Na+ symporter,+
yfjR,b2634,2769703,2770404,CP4-57 prophage; putative DNA-binding transcriptional regulator YfjR,+
ynjH,b1760,1841863,1842135,DUF1496 domain-containing protein YnjH,-
purD,b4005,4204642,4205931,phosphoribosylamine--glycine ligase,-
frdC,b4152,4379377,4379772,fumarate reductase membrane protein FrdC,-
yncI,b1459,1530586,1531639,putative transposase YncI,+
rplB,b3317,3450543,3451364,50S ribosomal subunit protein L2,-
lptF,b4261,4486218,4487318,lipopolysaccharide transport system protein LptF,+
gstA,b1635,1714377,1714982,glutathione <i>S</i>-transferase GstA,+
phoA,b0383,401747,403162,alkaline phosphatase,+
tolQ,b0737,775153,775845,Tol-Pal system protein TolQ,+
asnA,b3744,3927155,3928147,asparagine synthetase A,+
yadM,b0138,152243,152812,putative fimbrial protein YadM,-
gcvR,b2479,2599906,2600478,putative transcriptional regulator GcvR,+
yqhH,b3014,3158627,3158884,lipoprotein YqhH,+
dnaB,b4052,4264314,4265729,replicative DNA helicase,+
msrP,b1971,2039478,2040482,protein-L-methionine sulfoxide reductase catalytic subunit MsrP,+
b2653,b2653,2785800,2785973,,-
yraQ,b3151,3297098,3298138,permease family protein YraQ,-
ybeD,b0631,662379,662642,DUF493 domain-containing protein YbeD,-
uxuR,b4324,4554576,4555349,DNA-binding transcriptional repressor UxuR,+
paaI,b1396,1460471,1460893,phenylacetyl-CoA thioesterase,+
3'ETS-<i>leuZ</i>,b4759,1991748,1991814,small regulatory RNA 3'ETS<sup><i>leuZ</i></sup>,-
thpR,b0147,161501,162031,"RNA 2',3'-cyclic phosphodiesterase",-
waaO,b3627,3802039,3803058,"UDP-D-glucose:(glucosyl)LPS &alpha;-1,3-glucosyltransferase",-
yffN,b2445,2561625,2561993,CPZ-55 prophage; uncharacterized protein YffN,+
yncL,b4598,1517099,1517194,uncharacterized protein YncL,-
guaB,b2508,2632604,2634070,inosine 5'-monophosphate dehydrogenase,-
torY,b1873,1957032,1958132,cytochrome <i>c</i> quinol dehydrogenase TorY,-
lfhA,b0229,248358,250070,"flagellar system protein, promoterless fragment",-
rpsR,b4202,4425839,4426066,30S ribosomal subunit protein S18,+
rayT,b0228,247637,248134,REP-associated tyrosine transposase,+
phnM,b4095,4316082,4317218,RPnTP hydrolase,-
ruvB,b1860,1944346,1945356,Holliday junction branch migration complex subunit RuvB,-
yebW,b1837,1922121,1922312,DUF1482 domain-containing protein YebW,+
ansP,b1453,1524481,1525980,L-asparagine transporter,-
arsC,b3503,3650237,3650662,arsenate reductase,+
mraZ,b0081,89634,90092,DNA-binding transcriptional repressor MraZ,+
ybjI,b0844,885316,886131,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,-
pfkA,b3916,4107552,4108514,6-phosphofructokinase 1,+
ymjD,b4673,1390868,1390933,uncharacterized protein YmjD,-
intS,b2349,2466545,2467702,CPS-53 (KpLE1) prophage; prophage CPS-53 integrase,+
ymgG,b1172,1222644,1222988,PF13436 family protein YmgG,-
purT,b1849,1930881,1932059,phosphoribosylglycinamide formyltransferase 2,+
nuoG,b2283,2397439,2400165,NADH:quinone oxidoreductase subunit G,-
yibU,b4652,3769948,3770146,,+
rpsB,b0169,189874,190599,30S ribosomal subunit protein S2,+
glcD,b2979,3126522,3128021,"glycolate dehydrogenase, putative FAD-linked subunit",-
phnJ,b4098,4318761,4319606,carbon-phosphorus lyase core complex subunit PhnJ,-
cvpA,b2313,2430275,2430763,colicin V production protein,-
edd,b1851,1932793,1934604,phosphogluconate dehydratase,-
fimA,b4314,4543115,4543663,type 1 fimbriae major subunit,+
glyA,b2551,2684254,2685507,serine hydroxymethyltransferase,-
queE,b2777,2904747,2905418,putative 7-carboxy-7-deazaguanine synthase QueE,-
tpx,b1324,1388305,1388811,lipid hydroperoxide peroxidase,-
cydH,b4602,1737456,1737545,cytochrome <i>bd</i>-I accessory subunit CydH,-
yabP,b0056,58474,59124,putative uncharacterized protein YabP,+
garD,b3128,3275282,3276853,GarD,+
cspI,b1552,1638455,1638667,Qin prophage; cold shock-like protein CspI,-
yiaY,b3589,3756676,3757827,L-threonine dehydrogenase,-
ybaN,b0468,490882,491259,DUF454 domain-containing inner membrane protein YbaN,+
rydB,b4430,1764713,1764780,small regulatory RNA RydB,-
paoD,b0283,297770,298726,molybdenum cofactor insertion chaperone PaoD,-
ydfT,b1559,1642489,1643241,Qin prophage; putative antitermination protein Q,-
yqhJ,b4786,3111266,3111325,protein YqhJ,+
purN,b2500,2622234,2622872,phosphoribosylglycinamide formyltransferase 1,+
nrfE,b4074,4291512,4293170,putative cytochrome c-type biogenesis protein NrfE,+
ykfK,b4628,266776,266967,,-
rplQ,b3294,3439616,3439999,50S ribosomal subunit protein L17,-
phnG,b4101,4321244,4321696,carbon-phosphorus lyase core complex subunit PhnG,-
glcF,b4467,3124236,3125459,"glycolate dehydrogenase, putative iron-sulfur subunit",-
insAB2,,279178,279875,InsAB' transposase,-
recR,b0472,494405,495010,recombination mediator protein RecR,+
yaiA,b0389,406979,407170,protein YaiA,+
mhpF,b0351,372921,373871,acetaldehyde dehydrogenase (acetylating) MhpF,+
ahpC,b0605,638945,639508,"alkyl hydroperoxide reductase, AhpC component",+
ypfJ,b2475,2595874,2596737,uncharacterized protein YpfJ,-
ribE,b0415,434647,435117,"6,7-dimethyl-8-ribityllumazine synthase",+
malX,b1621,1699355,1700947,PTS enzyme IIBC component MalX,+
yajO,b0419,437161,438135,1-deoxyxylulose-5-phosphate synthase YajO,-
rpnE,b2244,2356904,2357803,inactive recombination-promoting nuclease-like protein RpnE,+
stfR,b1372,1429049,1432411,Rac prophage; putative prophage side tail fiber protein StfR,+
yaaX,b0005,5234,5530,DUF2502 domain-containing protein YaaX,+
purK,b0522,551527,552594,5-(carboxyamino)imidazole ribonucleotide synthase,-
hybC,b2994,3141286,3142989,hydrogenase 2 large subunit,-
lolA,b0891,937372,937983,outer membrane lipoprotein carrier protein,+
mdtQ,b2139,2227323,2228758,putative multidrug resistance outer membrane protein MdtQ,-
hflX,b4173,4400672,4401952,ribosome rescue factor HflX,+
yqhD,b3011,3155355,3156518,NADPH-dependent aldehyde reductase YqhD,+
glcE,b4468,3125470,3126522,"glycolate dehydrogenase, putative FAD-binding subunit",-
ssuC,b0934,994041,994832,aliphatic sulfonate ABC transporter membrane subunit,-
iaaA,b0828,866568,867533,&beta; cleavage product of IaaA // &alpha; cleavage product of IaaA // isoaspartyl dipeptidase proenzyme,+
idnO,b4266,4492587,4493351,5-keto-D-gluconate 5-reductase,-
ydeS,b1504,1588309,1588839,putative fimbrial protein YdeS,-
ugpQ,b3449,3587370,3588113,glycerophosphodiester phosphodiesterase UgpQ,-
yfaY,b2249,2362431,2363633,IPR008135 CinA family protein YfaY,-
mioC,b3742,3926012,3926455,flavoprotein MioC,-
ibpB,b3686,3866469,3866897,small heat shock protein IbpB,-
b0538,b0538,565972,566532,,+
yqgC,b2940,3086187,3086402,protein YqgC,+
xylG,b3567,3732201,3733742,xylose ABC transporter ATP binding subunit,+
lepA,b2569,2705325,2707124,30S ribosomal subunit biogenesis factor LepA,-
agaI,b3141,3286270,3287025,putative deaminase AgaI,+
ydcF,b1414,1487235,1488035,DUF218 domain-containing protein YdcF,+
arcZ,b4450,3350577,3350697,small regulatory RNA ArcZ,+
fklB,b4207,4428935,4429555,peptidyl-prolyl <i>cis-trans</i> isomerase FklB,+
ymfQ,b1153,1206913,1207497,e14 prophage; DUF2313 domain-containing protein YmfQ,+
ybiE,b4769,837503,837562,protein YbiE,+
purE,b0523,552591,553100,<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase,-
fdnG,b1474,1547401,1550448,formate dehydrogenase N subunit &alpha;,+
ygeK,b2855,2994460,2994903,putative DNA-binding transcriptional regulator YgeK,-
yggL,b2959,3101807,3102133,putative ribosome assembly factor YggL,-
insH10,b3218,3365702,3366682,IS<i>5</i> transposase and trans-activator,-
recN,b2616,2751795,2753456,DNA repair protein RecN,+
znuB,b1859,1943414,1944199,Zn<sup>2+</sup> ABC transporter membrane subunit,+
ydhV,b1673,1751728,1753830,putative oxidoreductase YdhV,-
gudD,b2787,2918045,2919385,<i>D</i>-glucarate dehydratase,-
ribF,b0025,21407,22348,bifunctional riboflavin kinase / FMN adenylyltransferase,+
yoaB,b1809,1893367,1893711,RutC family protein YoaB,+
glpK,b3926,4115714,4117222,glycerol kinase,-
glgX,b3431,3569346,3571319,"limit dextrin alpha-1,6-glucohydrolase",-
yjcB,b4060,4274760,4275041,uncharacterized protein YjcB,-
tfaD,b0561,581534,582097,DLP12 prophage; putative tail fiber assembly protein TfaD,+
yehM,b2120,2205695,2207974,uncharacterized protein YehM,+
purA,b4177,4404687,4405985,adenylosuccinate synthetase,+
hypA,b2726,2850647,2850997,hydrogenase 3 nickel incorporation protein HypA,+
insZ,b4573,1294426,1295322,putative transposase InsZ,-
rpsO,b3165,3311415,3311684,30S ribosomal subunit protein S15,-
yphD,b2546,2675827,2676825,putative ABC transporter membrane subunit YphD,-
ygaP,b2668,2797520,2798044,thiosulfate sulfurtransferase YgaP,+
paaJ,b1397,1460893,1462098,&beta;-ketoadipyl-CoA thiolase,+
ppdA,b2826,2963707,2964177,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdA,-
tdcR,b3119,3267380,3267598,DNA-binding transcriptional activator TdcR,+
ydhQ,b1664,1744871,1746127,putative adhesin-related protein YdhQ,-
gldA,b3945,4137932,4139035,"L-1,2-propanediol dehydrogenase / glycerol dehydrogenase",-
yhcN,b3238,3385538,3385801,DUF1471 domain-containing stress-induced protein YhcN,+
bcsF,b3537,3698026,3698217,putative cellulose biosynthesis protein BcsF,+
hslR,b3400,3529348,3529749,heat shock protein Hsp15,+
alsK,b4084,4306870,4307799,D-allose kinase,-
ycjM,b1309,1370216,1371895,glucosylglycerate phosphorylase,+
ybfE,b0685,711605,711898,ribbon-helix-helix domain-containing protein YbfE,-
sroH,b4691,4190327,4190487,small RNA SroH,-
ycdY,b1035,1099640,1100194,chaperone protein YcdY,+
intF,b0281,295696,297096,CP4-6 prophage; putative phage integrase,-
ynaM,b4744,1434293,1434406,Rac prophage; protein YnaM,-
purL,b2557,2691656,2695543,phosphoribosylformylglycinamide synthetase,-
fnr,b1334,1398774,1399526,DNA-binding transcriptional dual regulator FNR,-
oweE,b4692,1204170,1204403,phage replication protein,+
rpmG,b3636,3811250,3811417,50S ribosomal subunit protein L33,-
insI2,b1404,1469358,1470509,IS30 transposase,+
xerD,b2894,3038847,3039743,site-specific recombinase,-
ybhR,b0792,825002,826108,ABC exporter membrane subunit YbhR,-
yncJ,b1436,1508834,1509064,DUF2554 domain-containing protein YncJ,-
uxuA,b4322,4551636,4552820,D-mannonate dehydratase,+
ribA,b1277,1338570,1339160,GTP cyclohydrolase 2,-
ydcZ,b1447,1517882,1518331,putative inner membrane protein YdcZ,-
glpQ,b2239,2349935,2351011,glycerophosphoryl diester phosphodiesterase GlpQ,-
fbaA,b2925,3070165,3071244,fructose-bisphosphate aldolase class II,-
mrp,b2113,2193059,2194168,P-loop NTPase family protein Mrp,-
yabI,b0065,71351,72115,DedA family protein YabI,+
perR,b0254,269289,270182,CP4-6 prophage; putative transcriptional regulator PerR,-
yafD,b0209,231122,231922,endonuclease/exonuclease/phosphatase domain-containing protein YafD,+
purF,b2312,2428721,2430238,amidophosphoribosyltransferase,-
torT,b0994,1056261,1057289,TorT-TMAO // periplasmic trimethylamine-N-oxide binding protein,+
ysaD,b4649,3750918,3751109,,+
rplN,b3310,3447778,3448149,50S ribosomal subunit protein L14,-
aaeB,b3240,3386221,3388188,aromatic carboxylic acid efflux pump subunit AaeB,-
zraP,b4002,4201263,4201688,signaling pathway modulator ZraP,-
ugpA,b3452,3590024,3590911,<i>sn</i>-glycerol 3-phosphate ABC transporter membrane subunit UgpA,-
mhpE,b0352,373868,374881,4-hydroxy-2-oxovalerate aldolase,+
gpsA,b3608,3782642,3783661,glycerol-3-phosphate dehydrogenase,-
ycbV,b0943,1003439,1003954,putative fimbrial protein YcbV,+
dppA,b3544,3706098,3707705,dipeptide ABC transporter periplasmic binding protein,-
pdeG,b1168,1217328,1218851,putative c-di-GMP phosphodiesterase PdeG,+
polA,b3863,4046966,4049752,DNA polymerase I,+
rsxE,b1632,1710828,1711523,SoxR [2Fe-2S] reducing system protein RsxE,+
isrB,b4434,1987839,1987998,,-
ygcE,b2776,2901896,2903374,putative sugar kinase YgcE,+
galM,b0756,787797,788837,galactose-1-epimerase,-
miaA,b4171,4399252,4400202,tRNA dimethylallyltransferase,+
fsaB,b3946,4139046,4139708,fructose-6-phosphate aldolase 2,-
yjfK,b4183,4411302,4411961,DUF2491 domain-containing protein YjfK,+
sraB,b4418,1146589,1146757,small RNA SraB,+
ycbF,b0944,1003947,1004657,putative fimbrial chaperone YcbF,+
ykfB,b0250,265620,266087,CP4-6 prophage; protein YkfB,-
yacM,b4727,113244,113288,protein YacM,+
purC,b2476,2596905,2597618,phosphoribosylaminoimidazole-succinocarboxamide synthase,-
nuoB,b2287,2403951,2404613,NADH:quinone oxidoreductase subunit B,-
insM,b4561,4508684,4508942,,-
der,b2511,2635884,2637356,50S ribosomal subunit stability factor,-
betB,b0312,327261,328733,betaine aldehyde dehydrogenase,-
insE3,b0540,566842,567141,DLP12 prophage; IS3 element protein InsE,+
ruvC,b1863,1946855,1947376,crossover junction endodeoxyribonuclease RuvC,-
lsrD,b1515,1604047,1605039,Autoinducer-2 ABC transporter membrane subunit LsrD,+
ymgC,b1167,1216748,1216996,protein YmgC,+
rbsK,b3752,3937294,3938223,ribokinase,+
ycaQ,b0916,969389,970621,interstrand DNA crosslink repair glycosylase,+
yigB,b3812,3997183,3997899,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,+
wecB,b3786,3970133,3971263,UDP-<i>N</i>-acetylglucosamine 2-epimerase,+
ascF,b2715,2839524,2840981,&beta;-glucoside specific PTS enzyme IIBC component,+
elbB,b3209,3349806,3350459,low activity glyoxalase ElbB,-
nohA,b1548,1635798,1636367,Qin prophage; putative prophage DNA-packaging protein NohA,-
yjfY,b4199,4424516,4424791,DUF1471 domain-containing protein YjfY,-
guaA,b2507,2630958,2632535,GMP synthetase,-
nrfB,b4071,4289245,4289811,periplasmic nitrite reductase penta-heme <i>c</i>-type cytochrome,+
yibJ,b3595,3767221,3767922,putative RHS domain-containing protein YibJ,+
