Gene_id,Genename,log2FoldChange(CIPvsH2O),significant(CIPvsH2O),CIP_avg_fpkm,H2O_avg_fpkm,biological_process,biological_process_description,cellular_component,cellular_component_description,molecular_function,molecular_function_description,KEGG AnnotInfo,KEGG url,Description,FPKM_Difference,Rank_FPKM,Rank_Log2FC,Effect_Size
b3510,hdeA,-2.6499,DOWN,4294.2904655076345,15955.150669841467,--,--,--,--,--,--,K19777 acid stress chaperone HdeA | (RefSeq) hdeA; stress response protein acid-resistance protein,http://www.genome.jp/dbget-bin/www_bget?eco:b3510,stress response protein acid-resistance protein,-11660.860204333832,6.0,79.0,85.0
b4014,aceB,-3.3063,DOWN,461.81047832090906,3233.08926661372,GO:0044723//GO:0006082//GO:0043436//GO:0044237//GO:0044699//GO:0008150//GO:0019752//GO:0006081//GO:0046487//GO:0044262//GO:0005975//GO:0071704//GO:0044238//GO:0006097//GO:0009987//GO:0032787//GO:0044281//GO:0044763//GO:0044710//GO:0008152,single-organism carbohydrate metabolic process//organic acid metabolic process//oxoacid metabolic process//cellular metabolic process//single-organism process//biological_process//carboxylic acid metabolic process//cellular aldehyde metabolic process//glyoxylate metabolic process//cellular carbohydrate metabolic process//carbohydrate metabolic process//organic substance metabolic process//primary metabolic process//glyoxylate cycle//cellular process//monocarboxylic acid metabolic process//small molecule metabolic process//single-organism cellular process//single-organism metabolic process//metabolic process,--,--,GO:0016746//GO:0004474//GO:0003824//GO:0003674//GO:0016740//GO:0046912,"transferase activity, transferring acyl groups//malate synthase activity//catalytic activity//molecular_function//transferase activity//transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer",K01638 malate synthase [EC:2.3.3.9] | (RefSeq) aceB; malate synthase A,http://www.genome.jp/dbget-bin/www_bget?eco:b4014,malate synthase A,-2771.278788292811,38.0,48.0,86.0
b4408,csrB,-2.5723,DOWN,5397.2440598307,21405.660952340066,--,--,--,--,--,--,--,--,CsrA-binding sRNA%2C antagonizing CsrA regulation,-16008.416892509365,4.0,82.0,86.0
b2215,ompC,-2.5036,DOWN,6369.2945668805005,23188.717996015566,GO:0051234//GO:0051179//GO:0006810//GO:0008150,establishment of localization//localization//transport//biological_process,GO:0016020//GO:0005575,membrane//cellular_component,GO:0015267//GO:0022829//GO:0022857//GO:0015288//GO:0003674//GO:0005215//GO:0022803,channel activity//wide pore channel activity//transmembrane transporter activity//porin activity//molecular_function//transporter activity//passive transmembrane transporter activity,K09475 outer membrane pore protein C | (RefSeq) ompC; outer membrane porin protein C,http://www.genome.jp/dbget-bin/www_bget?eco:b2215,outer membrane porin protein C,-16819.423429135066,3.0,89.0,92.0
b1480,sra,-2.4118,DOWN,4741.88105025235,15543.6704845723,GO:1901564//GO:0010467//GO:0008150//GO:1901576//GO:0043604//GO:0006807//GO:0043043//GO:0043170//GO:1901566//GO:0044260//GO:0019538//GO:0044237//GO:0006412//GO:0034645//GO:0006518//GO:0044271//GO:0009059//GO:0009987//GO:0008152//GO:0034641//GO:0044267//GO:0044249//GO:0043603//GO:0009058//GO:0071704//GO:0044238,organonitrogen compound metabolic process//gene expression//biological_process//organic substance biosynthetic process//amide biosynthetic process//nitrogen compound metabolic process//peptide biosynthetic process//macromolecule metabolic process//organonitrogen compound biosynthetic process//cellular macromolecule metabolic process//protein metabolic process//cellular metabolic process//translation//cellular macromolecule biosynthetic process//peptide metabolic process//cellular nitrogen compound biosynthetic process//macromolecule biosynthetic process//cellular process//metabolic process//cellular nitrogen compound metabolic process//cellular protein metabolic process//cellular biosynthetic process//cellular amide metabolic process//biosynthetic process//organic substance metabolic process//primary metabolic process,GO:0044464//GO:0005575//GO:0005840//GO:0005737//GO:0030529//GO:0043232//GO:0043228//GO:0044424//GO:0005622//GO:0005623//GO:0032991//GO:0043226//GO:0044444//GO:0043229,cell part//cellular_component//ribosome//cytoplasm//ribonucleoprotein complex//intracellular non-membrane-bounded organelle//non-membrane-bounded organelle//intracellular part//intracellular//cell//macromolecular complex//organelle//cytoplasmic part//intracellular organelle,GO:0003735//GO:0003674//GO:0005198,structural constituent of ribosome//molecular_function//structural molecule activity,K02972 stationary-phase-induced ribosome-associated protein | (RefSeq) sra; stationary-phase-induced ribosome-associated protein,http://www.genome.jp/dbget-bin/www_bget?eco:b1480,stationary-phase-induced ribosome-associated protein,-10801.78943431995,7.0,97.0,104.0
b3511,hdeD,-3.2447,DOWN,399.749374291536,2240.744537543573,GO:0006807//GO:0006793//GO:0008150//GO:0019954//GO:0019637//GO:0006810//GO:0009119//GO:0015980//GO:0051179//GO:0006139//GO:0000003//GO:0009117//GO:0009205//GO:0051234//GO:0022904//GO:0006796//GO:1901135//GO:1901564//GO:0032502//GO:0044237//GO:0046483//GO:0044699//GO:0019538//GO:0006119//GO:0045333//GO:0006163//GO:0009116//GO:0046128//GO:0043170//GO:0055114//GO:0019693//GO:0006725//GO:0044710//GO:0055086//GO:0009259//GO:0008152//GO:0006753//GO:1901657//GO:0022900//GO:0009144//GO:0043934//GO:0009987//GO:1902578//GO:0044281//GO:0009141//GO:0042773//GO:0044763//GO:0044765//GO:0044238//GO:0071704//GO:0044767//GO:0006508//GO:0009167//GO:0072521//GO:0006091//GO:1901360//GO:0030436//GO:0016310//GO:0009161//GO:0046034//GO:0009150//GO:0006811//GO:0009199//GO:0009126//GO:0034641//GO:0042278//GO:0009123,nitrogen compound metabolic process//phosphorus metabolic process//biological_process//asexual reproduction//organophosphate metabolic process//transport//ribonucleoside metabolic process//energy derivation by oxidation of organic compounds//localization//nucleobase-containing compound metabolic process//reproduction//nucleotide metabolic process//purine ribonucleoside triphosphate metabolic process//establishment of localization//respiratory electron transport chain//phosphate-containing compound metabolic process//carbohydrate derivative metabolic process//organonitrogen compound metabolic process//developmental process//cellular metabolic process//heterocycle metabolic process//single-organism process//protein metabolic process//oxidative phosphorylation//cellular respiration//purine nucleotide metabolic process//nucleoside metabolic process//purine ribonucleoside metabolic process//macromolecule metabolic process//oxidation-reduction process//ribose phosphate metabolic process//cellular aromatic compound metabolic process//single-organism metabolic process//nucleobase-containing small molecule metabolic process//ribonucleotide metabolic process//metabolic process//nucleoside phosphate metabolic process//glycosyl compound metabolic process//electron transport chain//purine nucleoside triphosphate metabolic process//sporulation//cellular process//single-organism localization//small molecule metabolic process//nucleoside triphosphate metabolic process//ATP synthesis coupled electron transport//single-organism cellular process//single-organism transport//primary metabolic process//organic substance metabolic process//single-organism developmental process//proteolysis//purine ribonucleoside monophosphate metabolic process//purine-containing compound metabolic process//generation of precursor metabolites and energy//organic cyclic compound metabolic process//asexual sporulation//phosphorylation//ribonucleoside monophosphate metabolic process//ATP metabolic process//purine ribonucleotide metabolic process//ion transport//ribonucleoside triphosphate metabolic process//purine nucleoside monophosphate metabolic process//cellular nitrogen compound metabolic process//purine nucleoside metabolic process//nucleoside monophosphate metabolic process,GO:0005575//GO:0016020,cellular_component//membrane,GO:0022892//GO:0022803//GO:0005215//GO:0016491//GO:0008233//GO:0005216//GO:0015075//GO:0004175//GO:0016787//GO:0070011//GO:0015267//GO:0016651//GO:0003674//GO:0003824//GO:0022857//GO:0004190//GO:0022838//GO:0022891//GO:0070001,"substrate-specific transporter activity//passive transmembrane transporter activity//transporter activity//oxidoreductase activity//peptidase activity//ion channel activity//ion transmembrane transporter activity//endopeptidase activity//hydrolase activity//peptidase activity, acting on L-amino acid peptides//channel activity//oxidoreductase activity, acting on NAD(P)H//molecular_function//catalytic activity//transmembrane transporter activity//aspartic-type endopeptidase activity//substrate-specific channel activity//substrate-specific transmembrane transporter activity//aspartic-type peptidase activity",no KO assigned | (RefSeq) hdeD; acid-resistance membrane protein,http://www.genome.jp/dbget-bin/www_bget?eco:b3511,acid-resistance membrane protein,-1840.9951632520372,61.0,49.0,110.0
b0897,ycaC,-2.7048,DOWN,772.0760132667131,2995.364136721433,GO:0008150//GO:0008152,biological_process//metabolic process,--,--,GO:0005488//GO:0003674//GO:0003824//GO:0005515,binding//molecular_function//catalytic activity//protein binding,no KO assigned | (RefSeq) ycaC; putative isochorismatase family hydrolase,http://www.genome.jp/dbget-bin/www_bget?eco:b0897,putative isochorismatase family hydrolase,-2223.2881234547203,46.0,77.0,123.0
b2414,cysK,-3.3533,DOWN,240.066948086811,1670.523424633384,GO:0008152//GO:0044710//GO:0008150//GO:0044699//GO:0055114,metabolic process//single-organism metabolic process//biological_process//single-organism process//oxidation-reduction process,--,--,--,--,"K01738 cysteine synthase A [EC:2.5.1.47] | (RefSeq) cysK; cysteine synthase A, O-acetylserine sulfhydrolase A subunit",http://www.genome.jp/dbget-bin/www_bget?eco:b2414,cysteine synthase A%2C O-acetylserine sulfhydrolase A subunit,-1430.456476546573,80.0,45.0,125.0
b0605,ahpC,-2.3261,DOWN,2288.00394703745,7379.7755025237275,GO:0008152//GO:0044710//GO:0055114//GO:0044699//GO:0008150,metabolic process//single-organism metabolic process//oxidation-reduction process//single-organism process//biological_process,--,--,GO:0003674//GO:0003824//GO:0016209//GO:0051920//GO:0016684//GO:0016491,"molecular_function//catalytic activity//antioxidant activity//peroxiredoxin activity//oxidoreductase activity, acting on peroxide as acceptor//oxidoreductase activity","K03386 peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15] | (RefSeq) ahpC; alkyl hydroperoxide reductase, C22 subunit",http://www.genome.jp/dbget-bin/www_bget?eco:b0605,alkyl hydroperoxide reductase%2C C22 subunit,-5091.771555486277,20.0,105.0,125.0
b0699,ybfA,-2.8004,DOWN,701.4150439268351,2606.45341402787,--,--,--,--,--,--,no KO assigned | (RefSeq) ybfA; DUF2517 family protein,http://www.genome.jp/dbget-bin/www_bget?eco:b0699,DUF2517 family protein,-1905.038370101035,55.0,71.0,126.0
b0812,dps,-2.2841,DOWN,5378.596930836345,15483.337037963533,GO:0008150//GO:0006873//GO:0065008//GO:0006879//GO:0006875//GO:0048878//GO:0044699//GO:0055065//GO:0030003//GO:0055080//GO:0055072//GO:0042592//GO:0098771//GO:0009987//GO:0046916//GO:0044763//GO:0055082//GO:0055076//GO:0065007//GO:0050801//GO:0019725,biological_process//cellular ion homeostasis//regulation of biological quality//cellular iron ion homeostasis//cellular metal ion homeostasis//chemical homeostasis//single-organism process//metal ion homeostasis//cellular cation homeostasis//cation homeostasis//iron ion homeostasis//homeostatic process//inorganic ion homeostasis//cellular process//cellular transition metal ion homeostasis//single-organism cellular process//cellular chemical homeostasis//transition metal ion homeostasis//biological regulation//ion homeostasis//cellular homeostasis,--,--,GO:0008199//GO:0005506//GO:0043169//GO:0043167//GO:0046914//GO:0005488//GO:0046872//GO:0003674,ferric iron binding//iron ion binding//cation binding//ion binding//transition metal ion binding//binding//metal ion binding//molecular_function,K04047 starvation-inducible DNA-binding protein | (RefSeq) dps; Fe-binding and storage protein; stress-inducible DNA-binding protein,http://www.genome.jp/dbget-bin/www_bget?eco:b0812,Fe-binding and storage protein%3B stress-inducible DNA-binding protein,-10104.740107127189,8.0,118.0,126.0
b4016,aceK,-3.4466,DOWN,202.0135865152905,1552.3365808728897,GO:0008150//GO:0044699//GO:0005996//GO:0044723//GO:0008152//GO:0044710//GO:0019318//GO:0006006//GO:0044238//GO:0071704//GO:0005975,biological_process//single-organism process//monosaccharide metabolic process//single-organism carbohydrate metabolic process//metabolic process//single-organism metabolic process//hexose metabolic process//glucose metabolic process//primary metabolic process//organic substance metabolic process//carbohydrate metabolic process,GO:0044464//GO:0005575//GO:0005737//GO:0005622//GO:0005623//GO:0044424,cell part//cellular_component//cytoplasm//intracellular//cell//intracellular part,GO:0008772//GO:0016773//GO:0016787//GO:0004672//GO:0042578//GO:0016788//GO:0016791//GO:0016740//GO:0003674//GO:0003824//GO:0016301//GO:0016772,"[isocitrate dehydrogenase (NADP+)] kinase activity//phosphotransferase activity, alcohol group as acceptor//hydrolase activity//protein kinase activity//phosphoric ester hydrolase activity//hydrolase activity, acting on ester bonds//phosphatase activity//transferase activity//molecular_function//catalytic activity//kinase activity//transferase activity, transferring phosphorus-containing groups",K00906 isocitrate dehydrogenase kinase/phosphatase [EC:2.7.11.5 3.1.3.-] | (RefSeq) aceK; isocitrate dehydrogenase kinase/phosphatase,http://www.genome.jp/dbget-bin/www_bget?eco:b4016,isocitrate dehydrogenase kinase/phosphatase,-1350.3229943575993,85.0,43.0,128.0
b2665,ygaU,-2.4607,DOWN,1086.5881976802996,3496.045389161563,GO:0006812//GO:0044699//GO:0008150//GO:0006810//GO:0051179//GO:0051234//GO:0006811//GO:1902578//GO:0030001//GO:0044765,cation transport//single-organism process//biological_process//transport//localization//establishment of localization//ion transport//single-organism localization//metal ion transport//single-organism transport,--,--,GO:0043167//GO:0005488//GO:0043169//GO:0003674//GO:0046872,ion binding//binding//cation binding//molecular_function//metal ion binding,no KO assigned | (RefSeq) ygaU; uncharacterized protein,http://www.genome.jp/dbget-bin/www_bget?eco:b2665,uncharacterized protein,-2409.457191481263,37.0,94.0,131.0
b1953,yodD,-2.7655,DOWN,549.2748511782655,2271.03767936956,--,--,--,--,--,--,no KO assigned | (RefSeq) yodD; uncharacterized protein,http://www.genome.jp/dbget-bin/www_bget?eco:b1953,uncharacterized protein,-1721.7628281912944,60.0,74.0,134.0
b3509,hdeB,-2.3049,DOWN,1727.86639891866,4978.358334216883,--,--,--,--,--,--,K19778 acid stress chaperone HdeB | (RefSeq) hdeB; acid-resistance protein,http://www.genome.jp/dbget-bin/www_bget?eco:b3509,acid-resistance protein,-3250.4919352982233,25.0,113.0,138.0
b2135,yohC,-3.9457,DOWN,130.886300150541,1166.24158734515,--,--,GO:0005575//GO:0016020,cellular_component//membrane,--,--,no KO assigned | (RefSeq) yohC; Yip1 family inner membrane protein,http://www.genome.jp/dbget-bin/www_bget?eco:b2135,Yip1 family inner membrane protein,-1035.355287194609,119.0,26.0,145.0
b0880,cspD,-2.1566,DOWN,4218.40617483593,12389.789986482734,GO:0008152//GO:0044271//GO:0051252//GO:0034654//GO:2001141//GO:0090304//GO:0034645//GO:0009987//GO:0010468//GO:0019219//GO:0009059//GO:1901360//GO:1901362//GO:0065007//GO:0044238//GO:0071704//GO:0031323//GO:0009058//GO:0080090//GO:0034641//GO:0019438//GO:0009889//GO:0044249//GO:0006139//GO:0097659//GO:0006351//GO:0019222//GO:0006807//GO:1901576//GO:0008150//GO:0050794//GO:0051171//GO:2000112//GO:0018130//GO:1903506//GO:0016070//GO:0060255//GO:0010467//GO:0044260//GO:0032774//GO:0044237//GO:0046483//GO:0010556//GO:0050789//GO:0031326//GO:0006725//GO:0006355//GO:0043170,"metabolic process//cellular nitrogen compound biosynthetic process//regulation of RNA metabolic process//nucleobase-containing compound biosynthetic process//regulation of RNA biosynthetic process//nucleic acid metabolic process//cellular macromolecule biosynthetic process//cellular process//regulation of gene expression//regulation of nucleobase-containing compound metabolic process//macromolecule biosynthetic process//organic cyclic compound metabolic process//organic cyclic compound biosynthetic process//biological regulation//primary metabolic process//organic substance metabolic process//regulation of cellular metabolic process//biosynthetic process//regulation of primary metabolic process//cellular nitrogen compound metabolic process//aromatic compound biosynthetic process//regulation of biosynthetic process//cellular biosynthetic process//nucleobase-containing compound metabolic process//nucleic acid-templated transcription//transcription, DNA-templated//regulation of metabolic process//nitrogen compound metabolic process//organic substance biosynthetic process//biological_process//regulation of cellular process//regulation of nitrogen compound metabolic process//regulation of cellular macromolecule biosynthetic process//heterocycle biosynthetic process//regulation of nucleic acid-templated transcription//RNA metabolic process//regulation of macromolecule metabolic process//gene expression//cellular macromolecule metabolic process//RNA biosynthetic process//cellular metabolic process//heterocycle metabolic process//regulation of macromolecule biosynthetic process//regulation of biological process//regulation of cellular biosynthetic process//cellular aromatic compound metabolic process//regulation of transcription, DNA-templated//macromolecule metabolic process",--,--,GO:0003677//GO:0003676//GO:0003674//GO:1901363//GO:0097159//GO:0005488,DNA binding//nucleic acid binding//molecular_function//heterocyclic compound binding//organic cyclic compound binding//binding,"K03704 cold shock protein (beta-ribbon, CspA family) | (RefSeq) cspD; inhibitor of DNA replication, cold shock protein homolog",http://www.genome.jp/dbget-bin/www_bget?eco:b0880,inhibitor of DNA replication%2C cold shock protein homolog,-8171.383811646804,13.0,134.0,147.0
b0999,cbpM,-3.1082,DOWN,288.7243326541545,1455.9949195958568,GO:0044249//GO:0009889//GO:0019438//GO:0034641//GO:0080090//GO:0009058//GO:0031323//GO:0071704//GO:0044238//GO:0065007//GO:1901362//GO:1901360//GO:0009059//GO:0019219//GO:0010468//GO:0009987//GO:0034645//GO:0034654//GO:2001141//GO:0090304//GO:0051252//GO:0044271//GO:0008152//GO:0043170//GO:0006355//GO:0006725//GO:0031326//GO:0050789//GO:0010556//GO:0046483//GO:0044237//GO:0032774//GO:0044260//GO:0010467//GO:0060255//GO:0016070//GO:1903506//GO:0018130//GO:2000112//GO:0050794//GO:0051171//GO:1901576//GO:0008150//GO:0006807//GO:0019222//GO:0006351//GO:0097659//GO:0006139,"cellular biosynthetic process//regulation of biosynthetic process//aromatic compound biosynthetic process//cellular nitrogen compound metabolic process//regulation of primary metabolic process//biosynthetic process//regulation of cellular metabolic process//organic substance metabolic process//primary metabolic process//biological regulation//organic cyclic compound biosynthetic process//organic cyclic compound metabolic process//macromolecule biosynthetic process//regulation of nucleobase-containing compound metabolic process//regulation of gene expression//cellular process//cellular macromolecule biosynthetic process//nucleobase-containing compound biosynthetic process//regulation of RNA biosynthetic process//nucleic acid metabolic process//regulation of RNA metabolic process//cellular nitrogen compound biosynthetic process//metabolic process//macromolecule metabolic process//regulation of transcription, DNA-templated//cellular aromatic compound metabolic process//regulation of cellular biosynthetic process//regulation of biological process//regulation of macromolecule biosynthetic process//heterocycle metabolic process//cellular metabolic process//RNA biosynthetic process//cellular macromolecule metabolic process//gene expression//regulation of macromolecule metabolic process//RNA metabolic process//regulation of nucleic acid-templated transcription//heterocycle biosynthetic process//regulation of cellular macromolecule biosynthetic process//regulation of cellular process//regulation of nitrogen compound metabolic process//organic substance biosynthetic process//biological_process//nitrogen compound metabolic process//regulation of metabolic process//transcription, DNA-templated//nucleic acid-templated transcription//nucleobase-containing compound metabolic process",--,--,GO:0003674//GO:0001071//GO:0003700,"molecular_function//nucleic acid binding transcription factor activity//transcription factor activity, sequence-specific DNA binding",K18997 chaperone modulatory protein CbpM | (RefSeq) cbpM; modulator of CbpA co-chaperone,http://www.genome.jp/dbget-bin/www_bget?eco:b0999,modulator of CbpA co-chaperone,-1167.2705869417023,94.0,56.0,150.0
b4187,aidB,-3.9054,DOWN,113.90440146805736,1068.1220594809022,GO:0008150//GO:0044699//GO:0055114//GO:0044710//GO:0008152,biological_process//single-organism process//oxidation-reduction process//single-organism metabolic process//metabolic process,--,--,GO:0016491//GO:0003995//GO:0003674//GO:0016627//GO:0003824,"oxidoreductase activity//acyl-CoA dehydrogenase activity//molecular_function//oxidoreductase activity, acting on the CH-CH group of donors//catalytic activity","K09456 putative acyl-CoA dehydrogenase | (RefSeq) aidB; DNA alkylation damage repair protein; flavin-containing DNA binding protein, weak isovaleryl CoA dehydrogenase",http://www.genome.jp/dbget-bin/www_bget?eco:b4187,DNA alkylation damage repair protein%3B flavin-containing DNA binding protein%2C weak isovaleryl CoA dehydrogenase,-954.2176580128448,131.0,27.0,158.0
b1000,cbpA,-3.095,DOWN,269.672887889827,1376.0533137617665,--,--,--,--,--,--,K05516 curved DNA-binding protein | (RefSeq) cbpA; DnaK co-chaperone; curved DNA-binding protein,http://www.genome.jp/dbget-bin/www_bget?eco:b1000,DnaK co-chaperone%3B curved DNA-binding protein,-1106.3804258719395,103.0,57.0,160.0
b1482,osmC,-2.2305,DOWN,1270.0729380884,3509.1914438580498,GO:0006950//GO:0008150//GO:0050896//GO:0006979,response to stress//biological_process//response to stimulus//response to oxidative stress,--,--,--,--,"K04063 osmotically inducible protein OsmC | (RefSeq) osmC; lipoyl-dependent Cys-based peroxidase, hydroperoxide resistance; salt-shock inducible membrane protein; peroxiredoxin",http://www.genome.jp/dbget-bin/www_bget?eco:b1482,lipoyl-dependent Cys-based peroxidase%2C hydroperoxide resistance%3B salt-shock inducible membrane protein%3B peroxiredoxin,-2239.11850576965,36.0,124.0,160.0
b2080,yegP,-2.5379,DOWN,524.73357548783,1767.05413526714,--,--,--,--,--,--,K09946 uncharacterized protein | (RefSeq) yegP; UPF0339 family protein,http://www.genome.jp/dbget-bin/www_bget?eco:b2080,UPF0339 family protein,-1242.32055977931,75.0,85.0,160.0
