Gene name,Gene ID,Functional description,Fold Change
hisF,b2025,D-3-phosphoglycerate dehydrogenase,-2.46
hisH,b2023,3-phosphoserine aminotransferase,-2.36
hisI,b2026,cytochrome b(561),-2.01
hisM,b2307,"pyridine nucleotide transhydrogenase, alpha subunit",-2.03
ilvC,b3774,"ketol-acid reductoisomerase, NAD(P)-binding",-7.78
ilvD,b3771,dihydroxyacid dehydratase,-2.1
ilvE,b3770,branched-chain amino-acid aminotransferase,-2.96
ilvG_1,b3767,"membrane-bound ATP synthase, F1 sector, delta-subunit",-4.25
ilvG_2,b3768,malate dehydrogenase,-3.59
ilvH,b0078,"succinate dehydrogenase, cytochrome b556",-2.94
ilvI,b0077,"succinate dehydrogenase, hydrophobic subunit",-4.03
ilvL,b3766,2-oxoglutarate dehydrogenase (decarboxylase component),-2.67
ilvM,b3769,NADH dehydrogenase I chain F,-3.68
ilvN,b3670,"D-lactate dehydrogenase, FAD protein, NADH independent",-2.98
leuA,b0074,"succinate dehydrogenase, flavoprotein subunit",-3.71
leuC,b0072,NADH dehydrogenase I chain I,-3.19
leuD,b0071,3-isopropylmalate dehydrogenase,-3.11
leuL,b0075,leu operon leader peptide,-3.6
livG,b3455,"acetolactate synthase II, valine insensitive, small subunit",-2.96
livH,b3457,leucine/isoleucine/valine transporter subunit,-2.2
livK,b3458,leucine transporter subunit,-4.05
livM,b3456,leucine/isoleucine/valine transporter subunit,-2.02
metA,b4013,Subunit composition of homoserine O-succinyltransferase,-2.52
metC,b3008,"cystathionine beta-lyase, PLP-dependent",-2.51
metE,b3829,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase,-2.15
mtr,b3161,tryptophan transporter of high affinity,-2.46
potF,b0854,"sulfite reductase (NADPH), flavoprotein beta subunit",-4.55
potG,b0855,periplasmic sulfate-binding protein,-3.39
potH,b0856,sulfate transport system permease W protein,-2.05
speC,b2965,DNA-binding protein HU-alpha (HU-2),-2.31
thrA,b0002,fused aspartokinase I and homoserine dehydrogenase I,-3.09
thrB,b0003,homoserine kinase,-3.2
thrC,b0004,threonine synthase,-3.16
thrL,b0001,transcriptional regulator cys regulon; accessory regulatory circuit affecting cysM,-4.33
tyrB,b4054,"replication initiation inhibitor, binds to 13-mers at oriC",-2.61
ybiB,b0800,thr operon leader peptide,-2.43
ybiK,b0828,asparaginase III α-β complex,-3
ydjN,b1729,homoserine transsuccinylase,-2.93
yeaC,b1777,cystathionine beta-lyase (beta-cystathionase),-2.16
yecC,b1917,transporter subunit: ATP-binding component ofABC superfamily,-2.68
yecS,b1918,"glycogen biosynthesis, rpoS dependent",-2.72
yfbQ,b2290,haemolysin expression modulating protein,-3.13
ygbE,b2749,ilvGEDA operon leader peptide,-2.72
ygjU,b3089,sodium:serine/threonine symporter,-3.8
ynfN,b1551,aspartate aminotransferase,-4.07
yoaC,b1810,tryptophan-specific transport protein,-3.6
celA,b1738,N-(5-phospho-L-ribosyl-formimino)-5-amino-1-(5-,-2.03
gatZ,b2095,"outer membrane protein 3b (a), protease VII",-2.28
lpcA,b0222,bifunctional: aspartokinase I (N-terminal); homoserine dehydrogenase I,-2.01
rpe,b3386,phosphoribosylaminoimidazolecarboxamideformyltransferase,-2
rybA,b4416,phosphoribosylglycinamide formyltransferase 2,-2.34
rygD,b4447,phosphoribosylformyl-glycineamide synthetase,-2.02
ybhE,b0767,6-phosphogluconolactonase,-2.17
ydcL,b1431,NADP-specific glutamate dehydrogenase,-2.29
yhjS,b3536,cellulose production protein,-2.6
yibO,b3612,"phosphoglycero mutase III, cofactor-independent",-2.15
zwf,b1852,glucose-6-phosphate dehydrogenase,-2.67
damX,b3388,cell division protein that binds to the septal ring,-2.04
fhuF,b4367,cell division protein; ingrowth of wall at septum,-2.92
ftsL,b0083,periplasmic molecular chaperone for outer membrane proteins,-2.26
minC,b1176,cell division inhibitor,-2.04
minD,b1175,membrane ATPase of the MinC-MinD-MinE system,-2.04
dadX,b1190,dipeptide transport system permease protein 2,-2.1
ddg,b2378,palmitoleoyl-acyl carrier protein (ACP)-dependent acyltransferase,-2.84
hlpA,b0178,"pyridine nucleotide transhydrogenase, beta subunit",-3.5
mscL,b3291,"mechanosensitive channel protein, high conductance",-2.04
nmpC,b0553,"orf, hypothetical protein",-5.14
ompF,b0929,taurine ATP-binding component of a transport system,-11.07
ompT,b0565,taurine transport system periplasmic protein,-2.57
pal,b0741,lipoprotein-28,-2.52
prc,b1830,carboxy-terminal protease for penicillin-binding protein 3,-2.51
rlpB,b0641,phosphoribosylaminoimidazole synthetase,-2.17
yabC,b0082,cold shock protein,-2.21
yciD,b1256,outer membrane protein W,-2.52
yncA,b1448,predicted acyltransferase with acyl-CoA N-acyltransferase domain,-2.38
cobT,b1991,"3-deoxy-D-arabinoheptulosonate-7-phosphate synthase (DAHP synthetase,",-2.51
folE,b2153,"cell division inhibitor, inhibits ftsZ ring formation",-2.56
panC,b0133,taurine transport system permease protein,-2.07
panD,b0131,cytoplasmic ferritin (an iron storage protein),-2.57
pdxJ,b2564,adenosine 5-phosphosulfate kinase,-2.55
ribC,b1662,transcriptional regulation of gcv operon,-2.62
serA,b2913,thioredoxin reductase,-4.2
serC,b0907,survival protein,-3.47
isrB,b4434,"NADH dehydrogenase I chain C, D",-4.04
acnB,b0118,dipeptide transport protein,-2.12
atpB,b3738,"F0 sector of membrane-bound ATP synthase, subunit a",-2.13
atpE,b3737,"F0 sector of membrane-bound ATP synthase, subunit c",-2.07
atpF,b3736,"F0 sector of membrane-bound ATP synthase, subunit b",-2.63
atpH,b3735,"F1 sector of membrane-bound ATP synthase, delta subunit",-2.38
cybB,b1418,high-affinity branched-chain amino acid transport,-3.49
dld,b2133,glucose-6-phosphate dehydrogenase,-2.2
hdeA,b3510,GTP cyclohydrolase I,-3.15
hdeB,b3509,pyridoxine biosynthesis,-2.3
ivbL,b3672,"membrane-bound ATP synthase, F0 sector, subunit a",-3.62
leuB,b0073,"membrane-bound ATP synthase, F0 sector, subunit c",-3.43
mdh,b3236,Malate dehydrogenase,-2.35
mviM,b1068,putative structural protein,-2.65
nuoA,b2288,"NADH:ubiquinone oxidoreductase, membrane subunit A",-2.09
nuoB,b2287,"NADH:ubiquinone oxidoreductase, chain B",-2.52
nuoC,b2286,"NADH:ubiquinone oxidoreductase, fused CD subunit",-2.19
nuoE,b2285,"NADH:ubiquinone oxidoreductase, chain E",-2.41
nuoF,b2284,"NADH:ubiquinone oxidoreductase, chain F",-2.21
nuoG,b2283,"NADH:ubiquinone oxidoreductase, chain G",-2.41
nuoI,b2281,"NADH:ubiquinone oxidoreductase, chain I",-2.04
pntA,b1603,"sulfite reductase, alpha subunit",-3.23
pntB,b1602,ATP-binding component of sulfate permease A protein; chromate resistance,-2.98
ryeA,b4432,AMP nucleosidase,-2.42
sdhA,b0723,"succinate dehydrogenase, flavoprotein subunit",-2.08
sdhD,b0722,"succinate dehydrogenase, membrane subunit, binds cytochrome b556",-2.34
sucA,b0726,"excinuclease ABC, subunit C; repair of UV damage to DNA",-2.3
tas,b2834,glutamine amidotransferase subunit of heterodimer with HisF,-2.91
udhA,b3962,homolog of Salmonella cold shock protein,-2.45
ybiC,b0801,predicted dehydrogenase,-2.53
cysA,b2422,dihydroxyacid dehydratase,-2.82
cysC,b2750,"acetolactate synthase II, large subunit, cryptic, interrupted",-3.59
cysI,b2763,"acetolactate synthase II, valine insensitive, large subunit, silent in K-12",-3.57
cysJ,b2764,branched-chain amino-acid aminotransferase,-2.62
cysN,b2751,"glutamate synthase, small subunit",-2.39
cysW,b2423,dipeptide transport system permease protein 1,-2.47
ftn,b1905,outer membrane porin protein; locus of qsr prophage,-3.69
katG,b3942,aconitate hydrase B,-2.13
nlpA,b3661,"stationary-phase protein, cell division",-4.89
pstB,b3725,catalase; hydroperoxidase HPI(I),-2.2
sbp,b3917,sulfate transporter subunit,-2.55
tauA,b0365,taurine transporter subunit,-5.59
tauB,b0366,taurine transporter subunit,-6.09
tauC,b0367,taurine transporter subunit,-4.62
yibN,b3611,predicted rhodanese-related sulfurtransferase,-2.27
secG,b3175,preprotein translocase membrane subunit,-2.21
accD,b2316,aminomethyltransferase (T protein; tetrahydrofolate-dependent) of glycine,-2.27
acpS,b2563,"glutamate synthase, large subunit",-2.3
cdh,b3918,ornithine decarboxylase isozyme,-2.21
fabB,b2323,D-ribulose-5-phosphate 3-epimerase,-2.23
kduD,b2842,NADH dehydrogenase I chain A,-2.02
amn,b1982,periplasmic putrescine-binding protein; permease protein,-2.54
guaC,b0104,aspartate 1-decarboxylase,-2.76
purC,b2476,protein export - membrane protein,-2.98
purD,b4005,CoA:apo-(acyl-carrier-protein) pantetheinephosphotransferase,-2.87
purH,b4006,"acetylCoA carboxylase, carboxytransferase component, beta subunit",-2.62
purL,b2557,CDP-diacylglycerol phosphotidylhydrolase,-2.4
purM,b2499,3-oxoacyl-(acyl-carrier-protein) synthase I,-2.94
purT,b1849,2-deoxy-D-gluconate 3-dehydrogenase,-2.56
pyrB,b4245,uracil phosphoribosyltransferase,-2.6
upp,b2498,CspB,-3.9
ycfF,b1103,ilvB operon leader peptide,-2.38
bcp,b2480,aspartate-semialdehyde dehydrogenase,-3.22
cyoE,b0428,phosphoribosyl-amp cyclohydrolase; phosphoribosyl-ATP pyrophosphatase,-2.01
cysU,b2424,sulfate/thiosulfate transporter subunit,-2.28
fkpB,b0028,isopropylmalate isomerase subunit,-2.2
ppiB,b0525,"ATP-sulfurylase (ATP:sulfate adenylyltransferase), subunit 1, probably a GTPase",-2.12
sohB,b1272,multicopy suppressor of htrA(degP),-2.12
surA,b0053,peptidyl-prolyl cis-trans isomerase (PPIase),-2.16
trxB,b0888,cold shock protein,-2.18
yaiB,b0382,"anti-RssB factor, RpoS stabilzer during Pi starvation;",-2.36
yjiD,b4326,"RpoS stabilzer after DNA damage, anti-RssB factor",-2.27
yliJ,b0838,glutathione S-transferase homolog,-3.04
hupA,b4000,"HU, DNA-binding transcriptional regulator, alpha subunit",-4.37
hupB,b0440,"membrane-bound ATP synthase, F0 sector, subunit b",-2.7
pinR,b1374,Rac prophage; predicted site-specific recombinase,-2.34
smf,b4473,peptidyl-prolyl cis-trans isomerase B (rotamase B),-2.08
uvrC,b1913,positive transcriptional regulator for cysteine regulon,-2.44
yabP,b0056,repressor of aceBA operon,-3.34
yabQ,b0057,"RNase II, mRNA degradation",-3.11
mhpF,b0351,"acetaldehyde-CoA dehydrogenase II, NAD-binding",-2.02
ycgM,b1180,3-dehydroquinate dehydratase,-3.38
chpR,b2783,high-affinity branched-chain amino acid transport system; membrane component,-2.04
ycgF,b1163,"acetolactate synthase III, valine sensitive, small subunit",-2.14
yiiT,b3923,stress-induced protein,-2.25
cbl,b1987,3-dehydroquinate synthase,-5.91
cspB,b1557,tetrahydropteroyltriglutamate methyltransferase,-3
cspC,b1823,shikimate kinase I,-3.36
cspE,b0623,5-enolpyruvylshikimate-3-phosphate synthetase,-2.62
cspG,b0990,D-amino acid dehydrogenase subunit,-3
cspI,b1552,cold shock protein,-3.76
cysB,b1275,ketol-acid reductoisomerase,-2.87
gadX,b3516,DNA-binding transcriptional dual regulator,-2.18
hha,b0460,nicotinate-nucleotide dimethylbenz imidazole-P phophoribosyl transferase,-2
iciA,b2916,"DNA-binding transcriptional activator, replication initiation inhibitor",-3.05
iclR,b4018,NADH dehydrogenase I chain B,-2.37
lrp,b0889,"DNA-binding transcriptional dual regulator, leucine-binding",-2.2
pspF,b1303,ATP-binding component of high-affinity phosphate-specific transport system,-2.33
rnb,b1286,GMP reductase,-2.29
sdiA,b1916,"sulfate, thiosulfate transport system permease T protein",-2.72
spf,b3864,"DNA-binding protein HU-beta, NS1 (HU-1)",-2.72
uvrY,b1914,transcriptional regulator of ftsQAZ gene cluster,-2.54
ycbW,b0946,cold shock-like protein,-3.11
ycgE,b1162,leu operon leader peptide,-2.04
ydfH,b1540,predicted DNA-binding transcriptional regulator,-2.16
yfeC,b2398,"predicted DNA-binding protein, DUF1323 family",-2.23
yhiW,b3515,transcriptional activator of gadA and gadBC in absence of GadX,-2.05
yjeB,b4178,nitric oxide-sensitive repressor for NO regulon,-2.04
frr,b0172,outer membrane protein 1a (lazF),-2.07
rimJ,b1066,phosphoribosylaminoimidazole-succinocarboxamide synthetase,-2.92
rmf,b0953,phosphoribosylglycinamide synthetase,-2.96
rplY,b2185,"aspartate carbamoyltransferase, catalytic subunit",-2.04
