Gene_id,Genename,log2FoldChange(KANvsH2O),significant(KANvsH2O),KAN_avg_fpkm,H2O_avg_fpkm,biological_process,biological_process_description,cellular_component,cellular_component_description,molecular_function,molecular_function_description,KEGG AnnotInfo,KEGG url,Description,FPKM_Difference,Rank_FPKM,Rank_Log2FC,Effect_Size
b3555,yiaG,-6.2073,DOWN,62.129991730347065,3026.52133957972,GO:0044249//GO:0034641//GO:0080090//GO:0019438//GO:0009889//GO:0031323//GO:0071704//GO:0044238//GO:0009058//GO:1901360//GO:0065007//GO:1901362//GO:0009059//GO:0010468//GO:0009987//GO:0019219//GO:0044271//GO:0051252//GO:2001141//GO:0034654//GO:0090304//GO:0034645//GO:0008152//GO:0006355//GO:0043170//GO:0031326//GO:0006725//GO:0010556//GO:0050789//GO:0044237//GO:0046483//GO:0032774//GO:0044260//GO:1903506//GO:0060255//GO:0010467//GO:0016070//GO:2000112//GO:0050794//GO:0051171//GO:0018130//GO:0006351//GO:0019222//GO:0006807//GO:0097659//GO:0008150//GO:1901576//GO:0006139,"cellular biosynthetic process//cellular nitrogen compound metabolic process//regulation of primary metabolic process//aromatic compound biosynthetic process//regulation of biosynthetic process//regulation of cellular metabolic process//organic substance metabolic process//primary metabolic process//biosynthetic process//organic cyclic compound metabolic process//biological regulation//organic cyclic compound biosynthetic process//macromolecule biosynthetic process//regulation of gene expression//cellular process//regulation of nucleobase-containing compound metabolic process//cellular nitrogen compound biosynthetic process//regulation of RNA metabolic process//regulation of RNA biosynthetic process//nucleobase-containing compound biosynthetic process//nucleic acid metabolic process//cellular macromolecule biosynthetic process//metabolic process//regulation of transcription, DNA-templated//macromolecule metabolic process//regulation of cellular biosynthetic process//cellular aromatic compound metabolic process//regulation of macromolecule biosynthetic process//regulation of biological process//cellular metabolic process//heterocycle metabolic process//RNA biosynthetic process//cellular macromolecule metabolic process//regulation of nucleic acid-templated transcription//regulation of macromolecule metabolic process//gene expression//RNA metabolic process//regulation of cellular macromolecule biosynthetic process//regulation of cellular process//regulation of nitrogen compound metabolic process//heterocycle biosynthetic process//transcription, DNA-templated//regulation of metabolic process//nitrogen compound metabolic process//nucleic acid-templated transcription//biological_process//organic substance biosynthetic process//nucleobase-containing compound metabolic process",--,--,GO:1901363//GO:0003674//GO:0003824//GO:0003676//GO:0016791//GO:0016788//GO:0003677//GO:0042578//GO:0005488//GO:0097159//GO:0016787//GO:0043565,"heterocyclic compound binding//molecular_function//catalytic activity//nucleic acid binding//phosphatase activity//hydrolase activity, acting on ester bonds//DNA binding//phosphoric ester hydrolase activity//binding//organic cyclic compound binding//hydrolase activity//sequence-specific DNA binding",K07726 putative transcriptional regulator | (RefSeq) yiaG; HTH_CROC1 family putative transcriptional regulator,http://www.genome.jp/dbget-bin/www_bget?eco:b3555,HTH_CROC1 family putative transcriptional regulator,-2964.391347849373,42.0,17.0,59.0
b2266,elaB,-5.323,DOWN,146.258245518137,3863.7418280215934,--,--,--,--,--,--,K05594 ElaB protein | (RefSeq) elaB; putative membrane-anchored DUF883 family ribosome-binding protein,http://www.genome.jp/dbget-bin/www_bget?eco:b2266,putative membrane-anchored DUF883 family ribosome-binding protein,-3717.4835825034565,30.0,45.0,75.0
b4704,arrS,-8.7756,DOWN,7.622797726099769,2200.290813306077,--,--,--,--,--,--,--,--,antisense sRNA ArrS%2C function unknown,-2192.6680155799772,69.0,7.0,76.0
b3024,ygiW,-5.433,DOWN,109.33486175112535,3115.755231211373,--,--,--,--,--,--,no KO assigned | (RefSeq) ygiW; hydrogen peroxide and cadmium resistance periplasmic protein; stress-induced OB-fold protein,http://www.genome.jp/dbget-bin/www_bget?eco:b3024,hydrogen peroxide and cadmium resistance periplasmic protein%3B stress-induced OB-fold protein,-3006.4203694602475,38.0,38.0,76.0
b3511,hdeD,-6.9648,DOWN,27.306453296396466,2240.744537543573,GO:0006807//GO:0006793//GO:0008150//GO:0019954//GO:0019637//GO:0006810//GO:0009119//GO:0015980//GO:0051179//GO:0006139//GO:0000003//GO:0009117//GO:0009205//GO:0051234//GO:0022904//GO:0006796//GO:1901135//GO:1901564//GO:0032502//GO:0044237//GO:0046483//GO:0044699//GO:0019538//GO:0006119//GO:0045333//GO:0006163//GO:0009116//GO:0046128//GO:0043170//GO:0055114//GO:0019693//GO:0006725//GO:0044710//GO:0055086//GO:0009259//GO:0008152//GO:0006753//GO:1901657//GO:0022900//GO:0009144//GO:0043934//GO:0009987//GO:1902578//GO:0044281//GO:0009141//GO:0042773//GO:0044763//GO:0044765//GO:0044238//GO:0071704//GO:0044767//GO:0006508//GO:0009167//GO:0072521//GO:0006091//GO:1901360//GO:0030436//GO:0016310//GO:0009161//GO:0046034//GO:0009150//GO:0006811//GO:0009199//GO:0009126//GO:0034641//GO:0042278//GO:0009123,nitrogen compound metabolic process//phosphorus metabolic process//biological_process//asexual reproduction//organophosphate metabolic process//transport//ribonucleoside metabolic process//energy derivation by oxidation of organic compounds//localization//nucleobase-containing compound metabolic process//reproduction//nucleotide metabolic process//purine ribonucleoside triphosphate metabolic process//establishment of localization//respiratory electron transport chain//phosphate-containing compound metabolic process//carbohydrate derivative metabolic process//organonitrogen compound metabolic process//developmental process//cellular metabolic process//heterocycle metabolic process//single-organism process//protein metabolic process//oxidative phosphorylation//cellular respiration//purine nucleotide metabolic process//nucleoside metabolic process//purine ribonucleoside metabolic process//macromolecule metabolic process//oxidation-reduction process//ribose phosphate metabolic process//cellular aromatic compound metabolic process//single-organism metabolic process//nucleobase-containing small molecule metabolic process//ribonucleotide metabolic process//metabolic process//nucleoside phosphate metabolic process//glycosyl compound metabolic process//electron transport chain//purine nucleoside triphosphate metabolic process//sporulation//cellular process//single-organism localization//small molecule metabolic process//nucleoside triphosphate metabolic process//ATP synthesis coupled electron transport//single-organism cellular process//single-organism transport//primary metabolic process//organic substance metabolic process//single-organism developmental process//proteolysis//purine ribonucleoside monophosphate metabolic process//purine-containing compound metabolic process//generation of precursor metabolites and energy//organic cyclic compound metabolic process//asexual sporulation//phosphorylation//ribonucleoside monophosphate metabolic process//ATP metabolic process//purine ribonucleotide metabolic process//ion transport//ribonucleoside triphosphate metabolic process//purine nucleoside monophosphate metabolic process//cellular nitrogen compound metabolic process//purine nucleoside metabolic process//nucleoside monophosphate metabolic process,GO:0005575//GO:0016020,cellular_component//membrane,GO:0022892//GO:0022803//GO:0005215//GO:0016491//GO:0008233//GO:0005216//GO:0015075//GO:0004175//GO:0016787//GO:0070011//GO:0015267//GO:0016651//GO:0003674//GO:0003824//GO:0022857//GO:0004190//GO:0022838//GO:0022891//GO:0070001,"substrate-specific transporter activity//passive transmembrane transporter activity//transporter activity//oxidoreductase activity//peptidase activity//ion channel activity//ion transmembrane transporter activity//endopeptidase activity//hydrolase activity//peptidase activity, acting on L-amino acid peptides//channel activity//oxidoreductase activity, acting on NAD(P)H//molecular_function//catalytic activity//transmembrane transporter activity//aspartic-type endopeptidase activity//substrate-specific channel activity//substrate-specific transmembrane transporter activity//aspartic-type peptidase activity",no KO assigned | (RefSeq) hdeD; acid-resistance membrane protein,http://www.genome.jp/dbget-bin/www_bget?eco:b3511,acid-resistance membrane protein,-2213.438084247177,67.0,11.0,78.0
b4015,aceA,-4.9542,DOWN,455.9344617865724,9438.057258339488,GO:0071704//GO:0044281//GO:0044763//GO:0009987//GO:0008152//GO:0044710//GO:0043436//GO:0006082//GO:0044699//GO:0044237//GO:0019752//GO:0008150,organic substance metabolic process//small molecule metabolic process//single-organism cellular process//cellular process//metabolic process//single-organism metabolic process//oxoacid metabolic process//organic acid metabolic process//single-organism process//cellular metabolic process//carboxylic acid metabolic process//biological_process,--,--,GO:0004451//GO:0003674//GO:0003824//GO:0016830//GO:0016833//GO:0016829,isocitrate lyase activity//molecular_function//catalytic activity//carbon-carbon lyase activity//oxo-acid-lyase activity//lyase activity,K01637 isocitrate lyase [EC:4.1.3.1] | (RefSeq) aceA; isocitrate lyase,http://www.genome.jp/dbget-bin/www_bget?eco:b4015,isocitrate lyase,-8982.122796552916,17.0,62.0,79.0
b4045,yjbJ,-5.0818,DOWN,262.73948299369937,5876.467597259604,--,--,--,--,GO:0003674//GO:0005515//GO:0005488,molecular_function//protein binding//binding,"no KO assigned | (RefSeq) yjbJ; stress-induced protein, UPF0337 family",http://www.genome.jp/dbget-bin/www_bget?eco:b4045,stress-induced protein%2C UPF0337 family,-5613.728114265905,23.0,56.0,79.0
b0836,bssR,-4.832,DOWN,237.55252907591364,4471.623868457707,--,--,--,--,--,--,K19688 biofilm regulator BssR | (RefSeq) bssR; repressor of biofilm formation by indole transport regulation,http://www.genome.jp/dbget-bin/www_bget?eco:b0836,repressor of biofilm formation by indole transport regulation,-4234.071339381794,26.0,71.0,97.0
b2665,ygaU,-4.76,DOWN,196.15288215666865,3496.045389161563,GO:0006812//GO:0044699//GO:0008150//GO:0006810//GO:0051179//GO:0051234//GO:0006811//GO:1902578//GO:0030001//GO:0044765,cation transport//single-organism process//biological_process//transport//localization//establishment of localization//ion transport//single-organism localization//metal ion transport//single-organism transport,--,--,GO:0043167//GO:0005488//GO:0043169//GO:0003674//GO:0046872,ion binding//binding//cation binding//molecular_function//metal ion binding,no KO assigned | (RefSeq) ygaU; uncharacterized protein,http://www.genome.jp/dbget-bin/www_bget?eco:b2665,uncharacterized protein,-3299.8925070048945,34.0,74.0,108.0
b1824,yobF,-5.4651,DOWN,66.81307456613854,1942.5594900244632,--,--,--,--,--,--,no KO assigned | (RefSeq) yobF; DUF2527 family heat-induced protein,http://www.genome.jp/dbget-bin/www_bget?eco:b1824,DUF2527 family heat-induced protein,-1875.7464154583247,81.0,35.0,116.0
b0903,pflB,-4.9206,DOWN,136.013879078744,2719.4814998974866,GO:0008152//GO:0008150,metabolic process//biological_process,GO:0005634//GO:0043231//GO:0044424//GO:0005622//GO:0043227//GO:0005623//GO:0043226//GO:0043229//GO:0044464//GO:0005575//GO:0005576,nucleus//intracellular membrane-bounded organelle//intracellular part//intracellular//membrane-bounded organelle//cell//organelle//intracellular organelle//cell part//cellular_component//extracellular region,GO:0003824//GO:0003674//GO:0003677//GO:0003676//GO:1901363//GO:0005488//GO:0097159,catalytic activity//molecular_function//DNA binding//nucleic acid binding//heterocyclic compound binding//binding//organic cyclic compound binding,"K00656 formate C-acetyltransferase [EC:2.3.1.54] | (RefSeq) pflB; formate C-acetyltransferase 1, anaerobic; pyruvate formate-lyase 1",http://www.genome.jp/dbget-bin/www_bget?eco:b0903,formate C-acetyltransferase 1%2C anaerobic%3B pyruvate formate-lyase 1,-2583.4676208187425,53.0,66.0,119.0
b2094,gatA,-4.6323,DOWN,190.63570438586498,3134.9611877074367,--,--,--,--,--,--,"K02773 PTS system, galactitol-specific IIA component [EC:2.7.1.200] | (RefSeq) gatA; galactitol-specific enzyme IIA component of PTS",http://www.genome.jp/dbget-bin/www_bget?eco:b2094,galactitol-specific enzyme IIA component of PTS,-2944.3254833215715,37.0,82.0,119.0
b2579,grcA,-4.0819,DOWN,866.1705454483396,9670.932814847793,GO:0008152//GO:0008150,metabolic process//biological_process,--,--,GO:0003824//GO:0003674,catalytic activity//molecular_function,K06866 autonomous glycyl radical cofactor | (RefSeq) grcA; autonomous glycyl radical cofactor,http://www.genome.jp/dbget-bin/www_bget?eco:b2579,autonomous glycyl radical cofactor,-8804.762269399453,16.0,112.0,128.0
b3512,gadE,-9.4847,DOWN,3.0828826278512835,1399.0865376449267,GO:0008150//GO:1901576//GO:0097659//GO:0006807//GO:0019222//GO:0006351//GO:0006139//GO:0016070//GO:0010467//GO:0060255//GO:1903506//GO:0018130//GO:0050794//GO:0051171//GO:2000112//GO:0046483//GO:0044237//GO:0050789//GO:0010556//GO:0044260//GO:0032774//GO:0043170//GO:0006355//GO:0006725//GO:0031326//GO:0008152//GO:0019219//GO:0009987//GO:0010468//GO:0009059//GO:0034645//GO:0090304//GO:0034654//GO:2001141//GO:0051252//GO:0044271//GO:0009058//GO:0044238//GO:0071704//GO:0031323//GO:1901362//GO:0065007//GO:1901360//GO:0044249//GO:0009889//GO:0019438//GO:0080090//GO:0034641,"biological_process//organic substance biosynthetic process//nucleic acid-templated transcription//nitrogen compound metabolic process//regulation of metabolic process//transcription, DNA-templated//nucleobase-containing compound metabolic process//RNA metabolic process//gene expression//regulation of macromolecule metabolic process//regulation of nucleic acid-templated transcription//heterocycle biosynthetic process//regulation of cellular process//regulation of nitrogen compound metabolic process//regulation of cellular macromolecule biosynthetic process//heterocycle metabolic process//cellular metabolic process//regulation of biological process//regulation of macromolecule biosynthetic process//cellular macromolecule metabolic process//RNA biosynthetic process//macromolecule metabolic process//regulation of transcription, DNA-templated//cellular aromatic compound metabolic process//regulation of cellular biosynthetic process//metabolic process//regulation of nucleobase-containing compound metabolic process//cellular process//regulation of gene expression//macromolecule biosynthetic process//cellular macromolecule biosynthetic process//nucleic acid metabolic process//nucleobase-containing compound biosynthetic process//regulation of RNA biosynthetic process//regulation of RNA metabolic process//cellular nitrogen compound biosynthetic process//biosynthetic process//primary metabolic process//organic substance metabolic process//regulation of cellular metabolic process//organic cyclic compound biosynthetic process//biological regulation//organic cyclic compound metabolic process//cellular biosynthetic process//regulation of biosynthetic process//aromatic compound biosynthetic process//regulation of primary metabolic process//cellular nitrogen compound metabolic process",--,--,--,--,no KO assigned | (RefSeq) gadE; gad regulon transcriptional activator,http://www.genome.jp/dbget-bin/www_bget?eco:b3512,gad regulon transcriptional activator,-1396.0036550170755,125.0,5.0,130.0
b4518,ymdF,-4.3719,DOWN,234.73640299228768,3202.2860728064297,--,--,--,--,--,--,no KO assigned | (RefSeq) ymdF; KGG family protein,http://www.genome.jp/dbget-bin/www_bget?eco:b4518,KGG family protein,-2967.549669814142,36.0,96.0,132.0
b2080,yegP,-5.3269,DOWN,66.68875108375254,1767.05413526714,--,--,--,--,--,--,K09946 uncharacterized protein | (RefSeq) yegP; UPF0339 family protein,http://www.genome.jp/dbget-bin/www_bget?eco:b2080,UPF0339 family protein,-1700.3653841833875,91.0,44.0,135.0
b2097,fbaB,-5.7637,DOWN,41.458163353567336,1490.5900652351831,--,--,--,--,GO:0016829//GO:0003674//GO:0003824,lyase activity//molecular_function//catalytic activity,"K11645 fructose-bisphosphate aldolase, class I [EC:4.1.2.13] | (RefSeq) fbaB; fructose-bisphosphate aldolase class I",http://www.genome.jp/dbget-bin/www_bget?eco:b2097,fructose-bisphosphate aldolase class I,-1449.1319018816157,110.0,27.0,137.0
